model_name,cv_pr_auc,test_pr_auc,accuracy,precision,recall,f1_score,roc_auc,log_loss,predicted_positive_rate,threshold,params
CatBoost,0.23692242249695633,0.2443810530423357,0.4142,0.207579185520362,0.8524970963995354,0.33386399818057766,0.6382785177901825,0.7647825701826562,0.7072,0.5,"{'iterations': 436, 'depth': 9, 'learning_rate': 0.012553386061217049, 'l2_leaf_reg': 6.513097185041718, 'subsample': 0.6750746733431446, 'random_strength': 2.760553451583119, 'scale_pos_weight': 7.204809399002687}"
RandomForest,0.23876274902426903,0.24046936710440894,0.6305,0.2544187204381379,0.5934959349593496,0.35615960968809895,0.6395197210523169,0.6330922565699837,0.4017,0.5,"{'n_estimators': 207, 'max_depth': 9, 'min_samples_split': 7, 'min_samples_leaf': 5, 'criterion': 'entropy'}"
XGBoost,0.23656676723876732,0.23510333180647033,0.8278,0.0,0.0,0.0,0.6323041441162349,0.44947703183381366,0.0,0.5,"{'n_estimators': 864, 'max_depth': 7, 'learning_rate': 0.07404870294862903, 'subsample': 0.8920832774235486, 'colsample_bytree': 0.5456467971931089, 'gamma': 4.65970500666878, 'scale_pos_weight': 1.370916242370779}"
LightGBM,0.23755670775745005,0.232556074499087,0.6188,0.2509532888465205,0.6114982578397212,0.35586346738763097,0.6349384652770353,0.653060105060601,0.4196,0.5,"{'n_estimators': 415, 'learning_rate': 0.0057493843171183955, 'num_leaves': 118, 'max_depth': 5, 'min_child_samples': 63, 'scale_pos_weight': 5.4472360473324875, 'reg_alpha': 2.9175318036565674, 'reg_lambda': 2.7253620635345914}"
